,sEth,dEth,typEth,Source,Destination,proto,type,code,sPort,dPort,priority,action
50,*,9e:8d:de:80:29:28,0x800,softwareupdates.amazon.com,*,6,*,*,443,*,*,forward
51,*,9e:8d:de:80:29:28,0x800,www.example.net,*,6,*,*,80,*,*,forward
52,*,*,0x800,*,*,17,*,*,*,50000,*,forward
53,*,9e:8d:de:80:29:28,0x800,www.example.org,*,6,*,*,80,*,*,forward
54,*,9e:8d:de:80:29:28,0x800,pindorama-us-west-2.amazon.com,*,6,*,*,443,*,*,forward
55,*,*,0x0006,*,*,*,*,*,*,*,*,forward
56,*,*,0x888e,*,*,*,*,*,*,*,*,forward
57,9e:8d:de:80:29:28,*,0x800,*,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,6,*,*,*,443,*,forward
58,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x800,*,255.255.255.255/32,17,*,*,*,67,*,forward
59,9e:8d:de:80:29:28,*,0x800,*,rpsv2.video-cloud.net,6,*,*,*,443,*,forward
60,9e:8d:de:80:29:28,*,0x800,*,iconfig.august.com,6,*,*,*,443,*,forward
61,*,*,0x800,*,*,17,*,*,*,53,*,forward
62,9e:8d:de:80:29:28,*,0x800,*,rpsv12.video-cloud.net,6,*,*,*,443,*,forward
63,9e:8d:de:80:29:28,*,0x800,*,vcsv2.video-cloud.net,6,*,*,*,443,*,forward
64,9e:8d:de:80:29:28,*,0x800,*,8.8.4.4/32,1,8,0,*,*,*,forward
65,9e:8d:de:80:29:28,*,0x800,*,rpsv3.video-cloud.net,6,*,*,*,443,*,forward
66,9e:8d:de:80:29:28,*,0x800,*,doorbells.august.com,1,8,0,*,*,*,forward
67,9e:8d:de:80:29:28,*,0x800,*,rpsv7.video-cloud.net,6,*,*,*,443,*,forward
68,9e:8d:de:80:29:28,*,0x800,*,v2servers.video-cloud.net,6,*,*,*,443,*,forward
69,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,17,*,*,*,53,*,forward
70,*,*,0x800,*,*,17,*,*,*,67,*,forward
71,9e:8d:de:80:29:28,*,0x800,*,rpsv11.video-cloud.net,6,*,*,*,443,*,forward
72,9e:8d:de:80:29:28,*,0x800,*,rpsv222.video-cloud.net,6,*,*,*,443,*,forward
73,9e:8d:de:80:29:28,*,0x800,*,august.pubnub.com,6,*,*,*,443,*,forward
74,9e:8d:de:80:29:28,*,0x800,*,logger.august.com,6,*,*,*,443,*,forward
75,9e:8d:de:80:29:28,*,0x800,*,s3-us-west-2.amazonaws.com,6,*,*,*,443,*,forward
76,9e:8d:de:80:29:28,*,0x800,*,rpsv4.video-cloud.net,6,*,*,*,443,*,forward
77,9e:8d:de:80:29:28,*,0x800,*,doorbells.august.com,6,*,*,*,443,*,forward
78,9e:8d:de:80:29:28,*,0x800,*,rbs-sticky.august.com,6,*,*,*,443,*,forward
79,9e:8d:de:80:29:28,*,0x800,*,rpsv1.video-cloud.net,6,*,*,*,443,*,forward
80,9e:8d:de:80:29:28,*,0x800,*,rpsv10.video-cloud.net,6,*,*,*,443,*,forward
81,9e:8d:de:80:29:28,*,0x800,*,rpsv5.video-cloud.net,6,*,*,*,443,*,forward
82,9e:8d:de:80:29:28,*,0x800,*,dmsv2.video-cloud.net,6,*,*,*,443,*,forward
83,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,1,8,0,*,*,*,forward
84,*,9e:8d:de:80:29:28,0x800,rpsv7.video-cloud.net,*,6,*,*,443,*,*,forward
85,*,9e:8d:de:80:29:28,0x800,august.pubnub.com,*,6,*,*,443,*,*,forward
86,*,9e:8d:de:80:29:28,0x800,rpsv2.video-cloud.net,*,6,*,*,443,*,*,forward
87,*,9e:8d:de:80:29:28,0x800,s3-us-west-2.amazonaws.com,*,6,*,*,443,*,*,forward
88,*,9e:8d:de:80:29:28,0x800,logger.august.com,*,6,*,*,443,*,*,forward
89,*,9e:8d:de:80:29:28,0x800,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,*,6,*,*,443,*,*,forward
90,*,9e:8d:de:80:29:28,0x800,rpsv11.video-cloud.net,*,6,*,*,443,*,*,forward
91,*,9e:8d:de:80:29:28,0x800,dmsv2.video-cloud.net,*,6,*,*,443,*,*,forward
92,*,*,0x800,*,*,17,*,*,67,*,*,forward
93,*,9e:8d:de:80:29:28,0x800,doorbells.august.com,*,1,0,0,*,*,*,forward
94,*,9e:8d:de:80:29:28,0x800,8.8.8.8/32,*,17,*,*,53,*,*,forward
