sEth,dEth,typEth,proto,sPort,dPort,Source,Destination,action
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r2---sn-ntq7yned.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r4---sn-ntqe6n76.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,tools.google.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.22/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,1900,*,239.255.255.250/32,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,5228,*,mtalk.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,storage.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r3---sn-55goxu-ntqe.googlevideo.com,forward
*,*,0x0800,1,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh4.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,pagead2.googlesyndication.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,cdn.ravenjs.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,yt3.ggpht.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh3.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,googleads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh6.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,5353,*,224.0.0.251/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,fonts.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,connectivitycheck.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.2/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,r1---sn-55goxu-ntqe.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ajax.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,secure.insightexpressai.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,cast.scdn.co,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,securepubads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,tools.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,api-partner.spotify.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ssl.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ade.googlesyndication.com,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,r4---sn-ntqe6n76.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients3.google.com,forward
