,sEth,dEth,typEth,Source,Destination,proto,sPort,dPort,priority,action
221,9e:8d:de:80:29:28,*,0x0800,*,www.googleapis.com,17,*,443,*,forward
222,9e:8d:de:80:29:28,*,0x0800,*,ajax.googleapis.com,6,*,443,*,forward
224,9e:8d:de:80:29:28,*,0x0800,*,storage.googleapis.com,6,*,443,*,forward
225,9e:8d:de:80:29:28,*,0x0800,*,googleads.g.doubleclick.net,6,*,443,*,forward
226,9e:8d:de:80:29:28,*,0x0800,*,tools.google.com,17,*,443,*,forward
227,*,*,0x0800,*,*,6,8009,*,*,forward
228,9e:8d:de:80:29:28,*,0x0800,*,r1---sn-55goxu-ntqe.googlevideo.com,17,*,443,*,forward
230,9e:8d:de:80:29:28,*,0x0800,*,android.clients.google.com,6,*,80,*,forward
231,9e:8d:de:80:29:28,*,0x0800,*,yt3.ggpht.com,6,*,443,*,forward
232,9e:8d:de:80:29:28,*,0x0800,*,www.youtube-nocookie.com,17,*,443,*,forward
233,9e:8d:de:80:29:28,*,0x0800,*,ssl.gstatic.com,6,*,443,*,forward
234,9e:8d:de:80:29:28,*,0x0800,*,google.com,6,*,443,*,forward
235,9e:8d:de:80:29:28,*,0x0800,*,tools.google.com,6,*,443,*,forward
236,9e:8d:de:80:29:28,*,0x0800,*,ad.doubleclick.net,17,*,443,*,forward
237,9e:8d:de:80:29:28,*,0x0800,*,ssl.gstatic.com,6,*,80,*,forward
238,9e:8d:de:80:29:28,*,0x0800,*,time.google.com,17,*,123,*,forward
240,9e:8d:de:80:29:28,*,0x0800,*,fonts.googleapis.com,6,*,443,*,forward
241,9e:8d:de:80:29:28,*,0x0800,*,clients4.google.com,6,*,80,*,forward
242,9e:8d:de:80:29:28,*,0x0800,*,lh6.googleusercontent.com,17,*,443,*,forward
243,9e:8d:de:80:29:28,*,0x0800,*,www.gstatic.com,6,*,443,*,forward
244,9e:8d:de:80:29:28,*,0x0800,*,lh5.googleusercontent.com,6,*,443,*,forward
246,9e:8d:de:80:29:28,*,0x0800,*,connectivitycheck.gstatic.com,17,*,443,*,forward
247,9e:8d:de:80:29:28,*,0x0800,*,android.clients.google.com,17,*,443,*,forward
248,9e:8d:de:80:29:28,*,0x0800,*,i.ytimg.com,6,*,443,*,forward
249,9e:8d:de:80:29:28,*,0x0800,*,ade.googlesyndication.com,6,*,443,*,forward
250,9e:8d:de:80:29:28,*,0x0800,*,clients2.google.com,6,*,443,*,forward
251,9e:8d:de:80:29:28,*,0x0800,*,fonts.googleapis.com,17,*,443,*,forward
252,9e:8d:de:80:29:28,*,0x0800,*,clients4.google.com,6,*,443,*,forward
253,9e:8d:de:80:29:28,*,0x0800,*,fonts.gstatic.com,6,*,443,*,forward
254,9e:8d:de:80:29:28,*,0x0800,*,lh3.googleusercontent.com,6,*,443,*,forward
255,9e:8d:de:80:29:28,*,0x0800,*,fonts.gstatic.com,17,*,443,*,forward
256,9e:8d:de:80:29:28,*,0x0800,*,www.youtube.com,6,*,80,*,forward
257,9e:8d:de:80:29:28,*,0x0800,*,clients1.google.com,17,*,443,*,forward
258,9e:8d:de:80:29:28,*,0x0800,*,www.gstatic.com,6,*,80,*,forward
259,9e:8d:de:80:29:28,*,0x0800,*,google.com,6,*,80,*,forward
260,9e:8d:de:80:29:28,*,0x0800,*,r2---sn-ntq7yned.googlevideo.com,17,*,443,*,forward
261,9e:8d:de:80:29:28,*,0x0800,*,clients2.google.com,6,*,80,*,forward
262,9e:8d:de:80:29:28,*,0x0800,*,r4---sn-ntqe6n76.googlevideo.com,17,*,443,*,forward
263,9e:8d:de:80:29:28,*,0x0800,*,clients3.google.com,6,*,443,*,forward
264,9e:8d:de:80:29:28,*,0x0800,*,tools.google.com,6,*,80,*,forward
268,9e:8d:de:80:29:28,*,0x0800,*,clients3.google.com,1,*,*,*,forward
269,9e:8d:de:80:29:28,*,0x0800,*,clients3.google.com,17,*,443,*,forward
270,9e:8d:de:80:29:28,*,0x0800,*,mtalk.google.com,6,*,5228,*,forward
271,9e:8d:de:80:29:28,*,0x0800,*,storage.googleapis.com,17,*,443,*,forward
272,9e:8d:de:80:29:28,*,0x0800,*,android.clients.google.com,1,*,*,*,forward
273,9e:8d:de:80:29:28,*,0x0800,*,r3---sn-55goxu-ntqe.googlevideo.com,17,*,443,*,forward
275,9e:8d:de:80:29:28,*,0x0800,*,lh4.googleusercontent.com,17,*,443,*,forward
276,9e:8d:de:80:29:28,*,0x0800,*,clients1.google.com,6,*,80,*,forward
277,9e:8d:de:80:29:28,*,0x0800,*,www.googleapis.com,6,*,443,*,forward
278,9e:8d:de:80:29:28,*,0x0800,*,android.clients.google.com,6,*,443,*,forward
279,9e:8d:de:80:29:28,*,0x0800,*,pagead2.googlesyndication.com,6,*,443,*,forward
280,9e:8d:de:80:29:28,*,0x0800,*,google.com,17,*,443,*,forward
281,9e:8d:de:80:29:28,*,0x0800,*,cdn.ravenjs.com,6,*,443,*,forward
282,9e:8d:de:80:29:28,*,0x0800,*,www.gstatic.com,17,*,443,*,forward
283,9e:8d:de:80:29:28,*,0x0800,*,www.youtube.com,17,*,443,*,forward
284,9e:8d:de:80:29:28,*,0x0800,*,yt3.ggpht.com,17,*,443,*,forward
285,9e:8d:de:80:29:28,*,0x0800,*,lh3.googleusercontent.com,17,*,443,*,forward
286,9e:8d:de:80:29:28,*,0x0800,*,googleads.g.doubleclick.net,17,*,443,*,forward
287,9e:8d:de:80:29:28,*,0x0800,*,google.com,1,*,*,*,forward
288,9e:8d:de:80:29:28,*,0x0800,*,lh6.googleusercontent.com,6,*,443,*,forward
290,9e:8d:de:80:29:28,*,0x0800,*,fonts.gstatic.com,6,*,80,*,forward
291,9e:8d:de:80:29:28,*,0x0800,*,clients4.google.com,1,*,*,*,forward
292,9e:8d:de:80:29:28,*,0x0800,*,connectivitycheck.gstatic.com,6,*,80,*,forward
293,9e:8d:de:80:29:28,*,0x0800,*,clients2.google.com,17,*,443,*,forward
295,9e:8d:de:80:29:28,*,0x0800,*,r1---sn-55goxu-ntqe.googlevideo.com,6,*,443,*,forward
296,9e:8d:de:80:29:28,*,0x0800,*,clients1.google.com,6,*,443,*,forward
297,9e:8d:de:80:29:28,*,0x0800,*,ajax.googleapis.com,17,*,443,*,forward
298,9e:8d:de:80:29:28,*,0x0800,*,clients1.google.com,1,*,*,*,forward
299,9e:8d:de:80:29:28,*,0x0800,*,secure.insightexpressai.com,6,*,443,*,forward
300,9e:8d:de:80:29:28,*,0x0800,*,cast.scdn.co,6,*,443,*,forward
301,9e:8d:de:80:29:28,*,0x0800,*,securepubads.g.doubleclick.net,6,*,443,*,forward
302,9e:8d:de:80:29:28,*,0x0800,*,tools.google.com,1,*,*,*,forward
303,9e:8d:de:80:29:28,*,0x0800,*,clients4.google.com,17,*,443,*,forward
304,9e:8d:de:80:29:28,*,0x0800,*,api-partner.spotify.com,6,*,443,*,forward
305,9e:8d:de:80:29:28,*,0x0800,*,www.youtube.com,1,*,*,*,forward
306,9e:8d:de:80:29:28,*,0x0800,*,www.youtube.com,6,*,443,*,forward
307,9e:8d:de:80:29:28,*,0x0800,*,clients2.google.com,1,*,*,*,forward
308,9e:8d:de:80:29:28,*,0x0800,*,ssl.gstatic.com,17,*,443,*,forward
309,9e:8d:de:80:29:28,*,0x0800,*,ade.googlesyndication.com,17,*,443,*,forward
311,9e:8d:de:80:29:28,*,0x0800,*,r4---sn-ntqe6n76.googlevideo.com,6,*,443,*,forward
312,9e:8d:de:80:29:28,*,0x0800,*,clients3.google.com,6,*,80,*,forward
313,9e:8d:de:80:29:28,*,0x0800,*,lh5.googleusercontent.com,17,*,443,*,forward
314,9e:8d:de:80:29:28,*,0x0800,*,www.youtube-nocookie.com,6,*,443,*,forward
315,9e:8d:de:80:29:28,*,0x0800,*,connectivitycheck.gstatic.com,6,*,443,*,forward
316,9e:8d:de:80:29:28,*,0x0800,*,lh4.googleusercontent.com,6,*,443,*,forward
317,*,*,0x0800,*,*,6,8008,*,*,forward
318,9e:8d:de:80:29:28,*,0x0800,*,securepubads.g.doubleclick.net,17,*,443,*,forward
319,9e:8d:de:80:29:28,*,0x0800,*,i.ytimg.com,17,*,443,*,forward
320,*,9e:8d:de:80:29:28,0x0800,ssl.gstatic.com,*,6,80,*,*,forward
321,*,9e:8d:de:80:29:28,0x0800,cast.scdn.co,*,6,443,*,*,forward
322,*,9e:8d:de:80:29:28,0x0800,www.youtube.com,*,6,443,*,*,forward
323,*,9e:8d:de:80:29:28,0x0800,lh4.googleusercontent.com,*,6,443,*,*,forward
324,*,9e:8d:de:80:29:28,0x0800,android.clients.google.com,*,17,443,*,*,forward
325,*,9e:8d:de:80:29:28,0x0800,clients2.google.com,*,17,443,*,*,forward
326,*,9e:8d:de:80:29:28,0x0800,www.youtube-nocookie.com,*,17,443,*,*,forward
327,*,9e:8d:de:80:29:28,0x0800,clients3.google.com,*,6,80,*,*,forward
328,*,9e:8d:de:80:29:28,0x0800,clients3.google.com,*,6,443,*,*,forward
329,*,9e:8d:de:80:29:28,0x0800,r2---sn-ntq7yned.googlevideo.com,*,17,443,*,*,forward
330,*,9e:8d:de:80:29:28,0x0800,www.gstatic.com,*,6,443,*,*,forward
331,*,9e:8d:de:80:29:28,0x0800,googleads.g.doubleclick.net,*,6,443,*,*,forward
333,*,9e:8d:de:80:29:28,0x0800,clients3.google.com,*,17,443,*,*,forward
334,*,9e:8d:de:80:29:28,0x0800,clients1.google.com,*,6,443,*,*,forward
336,*,9e:8d:de:80:29:28,0x0800,lh6.googleusercontent.com,*,17,443,*,*,forward
337,*,9e:8d:de:80:29:28,0x0800,clients1.google.com,*,1,*,*,*,forward
338,*,9e:8d:de:80:29:28,0x0800,r4---sn-ntqe6n76.googlevideo.com,*,6,443,*,*,forward
339,*,9e:8d:de:80:29:28,0x0800,tools.google.com,*,6,80,*,*,forward
341,*,9e:8d:de:80:29:28,0x0800,r1---sn-55goxu-ntqe.googlevideo.com,*,17,443,*,*,forward
342,*,9e:8d:de:80:29:28,0x0800,r4---sn-ntqe6n76.googlevideo.com,*,17,443,*,*,forward
344,*,9e:8d:de:80:29:28,0x0800,tools.google.com,*,1,*,*,*,forward
345,*,9e:8d:de:80:29:28,0x0800,lh4.googleusercontent.com,*,17,443,*,*,forward
346,*,9e:8d:de:80:29:28,0x0800,google.com,*,1,*,*,*,forward
347,*,9e:8d:de:80:29:28,0x0800,clients4.google.com,*,17,443,*,*,forward
348,*,*,0x0800,*,*,6,*,8008,*,forward
349,*,9e:8d:de:80:29:28,0x0800,time.google.com,*,17,123,*,*,forward
350,*,9e:8d:de:80:29:28,0x0800,mtalk.google.com,*,6,5228,*,*,forward
351,*,9e:8d:de:80:29:28,0x0800,www.gstatic.com,*,6,80,*,*,forward
352,*,9e:8d:de:80:29:28,0x0800,www.youtube.com,*,6,80,*,*,forward
353,*,9e:8d:de:80:29:28,0x0800,lh3.googleusercontent.com,*,17,443,*,*,forward
354,*,9e:8d:de:80:29:28,0x0800,fonts.gstatic.com,*,17,443,*,*,forward
356,*,9e:8d:de:80:29:28,0x0800,android.clients.google.com,*,6,443,*,*,forward
357,*,9e:8d:de:80:29:28,0x0800,yt3.ggpht.com,*,17,443,*,*,forward
358,*,9e:8d:de:80:29:28,0x0800,securepubads.g.doubleclick.net,*,6,443,*,*,forward
359,*,9e:8d:de:80:29:28,0x0800,clients2.google.com,*,6,80,*,*,forward
360,*,9e:8d:de:80:29:28,0x0800,clients4.google.com,*,1,*,*,*,forward
361,*,9e:8d:de:80:29:28,0x0800,ade.googlesyndication.com,*,6,443,*,*,forward
362,*,9e:8d:de:80:29:28,0x0800,fonts.gstatic.com,*,6,443,*,*,forward
363,*,9e:8d:de:80:29:28,0x0800,cdn.ravenjs.com,*,6,443,*,*,forward
364,*,9e:8d:de:80:29:28,0x0800,connectivitycheck.gstatic.com,*,6,80,*,*,forward
365,*,9e:8d:de:80:29:28,0x0800,www.gstatic.com,*,17,443,*,*,forward
366,*,9e:8d:de:80:29:28,0x0800,clients2.google.com,*,1,*,*,*,forward
